User_ID,generate-forecast,successful-logout,open-events,open-chat,open-dashboard,open-forecasting,open-constraints,open-booking,open-events-operations,open-detailedmovielist,open-scheduler,take-ownership,generate-schedule,save-event,open-events-calendar,open-booking-week,open-zopim,open-login,successful-login,open-analytics-events,open-analytics,open-filmdatabase,open-analytics-circuitdashboard,open-analytics-forecasting,open-booking-newreleases,open-analytics-cinemamanager,open-administration,open-analytics-tile2,open-home,open-administration-policies,open-administration-movieexternalinfo,open-booking-film,open-administration-eventsfinancialdetails,open-administration-cinemagroups,open-administration-theatresimilaritymanagement,open-administration-cities,
5a86f6ac2a3722f646b1a638,0,58,257,16,264,0,23,143,155,37,192,238,20,133,4,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a93e7cba3a802c5b1da6bb4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5aaf7ebb838a245cf3e1c554,0,16,26,4,49,0,16,17,14,15,65,34,7,14,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a9400c980b3b941b8c0bf82,0,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,16,12,0,92,19,4,5,0,0,0,2,31,0,0,0,0,0,0,0,undefined
5a858b0b37bffd485593dbbe,0,0,177,0,0,0,0,0,145,0,0,0,0,110,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a995618c345858c4659373a,0,15,34,4,89,0,24,44,5,64,111,36,4,2,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a72d0851f141f170e7b7c95,0,0,0,2,8,3,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,undefined
5a86f5f9a1769bb0ca7c3514,0,57,295,1,325,0,18,138,169,68,257,260,10,133,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a86f5a336c20a812bffbab6,0,159,291,10,373,0,34,233,155,46,248,177,19,106,4,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a86f7cec5e03d8e7a652463,0,31,33,1,85,0,16,51,16,8,44,69,9,3,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a7b18aae6390367622171fe,0,3,0,0,6,0,0,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a72c6c4812405eae2a7c083,0,22,323,10,324,0,29,153,197,201,387,191,58,178,9,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5ab2618ccfda9242a89ccb8f,1,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a86f7005ec065f19c048421,0,44,268,26,350,0,37,133,115,116,323,228,15,99,3,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a947ff082fd58a9637c8e3b,0,40,172,29,270,0,42,118,65,65,222,95,12,52,3,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a943ea81f3073145120c24c,0,0,15,2,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,undefined
5a72c67d68f855d309c35331,0,32,230,5,302,0,56,113,127,166,362,134,33,107,6,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a731dced7827ce0889b58ce,0,40,219,10,383,0,18,208,98,105,305,349,57,63,2,77,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a9e3d2db492ba06dd48277d,0,1,117,0,0,0,0,0,91,0,0,0,0,83,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a6eeb685bd5027afa4c4fea,0,3,277,9,483,8,56,64,247,21,487,669,7,233,0,0,5,0,0,0,3,65,0,0,56,0,0,0,0,0,0,0,0,0,0,0,undefined
5a7829a7ac555287b1fc17fd,0,1,6,0,7,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,undefined
